iter	Passed	Remaining
0	224	223940
1	267	133524
2	311	10346633	349	8705544	390	7765955	440	7295666	496	7036677	552	6846488	613	6759799	665	65885110	714	64216111	765	63060112	816	62006113	863	60848114	920	60414
15	979	60261
16	1034	59823117	1090	59500118	1159	59869119	1219	59778220	1271	59263221	1324	58862222	1382	58745223	1447	58852224	1513	59022225	1572	58898226	1631	58810
27	1705	59188
28	1766	59141
29	1824	58983
30	1877	58672
31	1941	58737
32	2002	58678
33	2062	58601
34	2123	58545
35	2190	58646
36	2243	58382
37	2298	58194
38	2362	58223
39	2424	58184
40	2478	57971
41	2550	58179
42	2614	58179
43	2676	58159
44	2733	58017
45	2793	57939
46	2845	57704
47	2903	57595
48	2962	57490
49	3028	57538
50	3085	57418
51	3137	57193
52	3187	56962
53	3243	56820
54	3301	56719
55	3363	56699
56	3422	56620
57	3478	56490
58	3531	56323
59	3585	56173
60	3644	56104
61	3697	55946
62	3754	55844
63	3807	55679
64	3860	55525
65	3919	55468
66	3974	55351
67	4027	55198
68	4107	55417
69	4180	55537
70	4241	55498
71	4294	55347
72	4351	55252
73	4411	55202
74	4468	55113
75	4525	55017
76	4591	55037
77	4647	54930
78	4703	54835
79	4755	54691
80	4808	54557
81	4869	54511
82	4929	54460
83	4979	54300
84	5034	54199
85	5088	54082
86	5145	53992
87	5191	53805
88	5244	53685
89	5304	53631
90	5363	53575
91	5415	53446
92	5469	53341
93	5527	53276
94	5584	53196
95	5636	53081
96	5701	53072
97	5764	53058
98	5818	52953
99	5867	52809
100	5926	52752
101	5985	52694
102	6049	52679
103	6108	52625
104	6168	52582
105	6225	52507
106	6289	52486
107	6344	52403
108	6404	52354
109	6470	52350
110	6528	52286
111	6583	52200
112	6648	52185
113	6706	52119
114	6770	52103
115	6817	51956
116	6875	51886
117	6922	51740
118	6979	51669
119	7042	51646
120	7098	51565
121	7156	51505
122	7220	51479
123	7268	51351
124	7320	51244
125	7379	51185
126	7447	51193
127	7507	51143
128	7564	51073
129	7618	50982
130	7674	50909
131	7738	50889
132	7790	50785
133	7853	50752
134	7905	50651
135	7957	50553
136	8015	50491
137	8081	50477
138	8135	50393
139	8187	50294
140	8246	50236
141	8300	50156
142	8362	50119
143	8406	49973
144	8467	49928
145	8527	49881
146	8579	49783
147	8625	49653
148	8677	49561
149	8732	49482
